ftalk	stalk
fllcia	felicia
f	s
crifp	crisp
repartee	repartee
his	his
thouglt	thought
be	be
down	down
among	among
the	the
palm	palm
where	where
tle	the
tvo	two
figure	figure
hc	be
enter	enter
the	the
arhor	arbor
the	the
soft	soft
guow	glow
of	of
lali	half
a	a
dozeu	dozen
lantern	lantern
fahl	fall
upon	upon
tle	the
joyouf	joyous
ace	face
of	of
the	the
heautlful	beautiful
grl	girl
af	as
wtb	with
hand	hand
in	in
jack	jack
f	s
fhe	she
lcad	lead
lim	him
to	to
a	a
fat	seat
hefide	beside
hcr	her
on	on
the	the
bencb	bench
but	but
t	it
be	be
likc	like
home	home
jack	jack
gasp	gasp
why	why
you	you
must	must
remcmhsr	remember
vour	your
own	own
aarden	garden
and	and
tle	the
porch	porch
that	that
run	run
alongfide	alongside
of	of
the	the
kitchen	kitchen
and	and
the	the
brick	brick
just	just
fcc	see
how	how
hig	big
it	it
be	be
and	and
vou	you
never	never
tll	tell
me	me
a	a
word	word
ahout	about
it	it
ihy	why
ob	oh
bccauie	because
it	it
wonld	would
cave	have
fpoll	spoil
all	all
tle	the
fun	fun
i	i
be	be
s	so
afraid	afraid
dddv	daddy
wuld	would
tell	tell
you	you
that	that
i	i
makc	make
him	him
promise	promise
not	not
to	to
sav	say
a	a
wcrd	word
and	and
nobdy	nobody
eufe	else
have	have
fe	see
it	it
exccpt	except
mr	mr
morrif	morris
and	and
he	he
say	say
torture	torture
couud	could
nt	nt
drag	drag
it	it
out	out
oi	of
bim	him
tlat	that
ld	old
major	major
that	that
uncle	uncle
peter	peter
tlink	think
so	so
mncl	much
of	of
sle	she
would	would
take	take
care	care
o	of
him	him
in	in
the	the
hack	back
of	of
tle	the
and	and
shc	she
do	do
and	and
i	i
mount	mount
guard	guard
at	at
tbe	the
top	top
o	of
the	the
ftair	stair
before	before
auybody	anybody
could	could
get	get
lld	hold
of	of
vou	you
be	be
nt	nt
it	it
too	too
lovcly	lovely
and	and
do	do
you	you
know	know
there	there
be	be
real	real
live	live
lrog	frog
in	in
that	that
pond	pond
and	and
you	you
can	can
hear	hear
them	them
croak	croak
and	and
now	now
tell	tell
m	me
ahout	about
daddv	daddy
and	and
lov	how
he	he
gel	get
on	on
wtlout	without
me	me
hut	but
jack	jack
be	be
not	not
ready	ready
vl	yet
to	to
talk	talk
ahout	about
daddy	daddy
or	or
tbe	the
aork	work
or	or
anytling	anything
that	that
concerned	concerned
and	and
iti	its
tranfiticn	transition
have	have
be	be
too	too
sudden	sudden
and	and
too	too
ftartlng	startling
to	to
be	be
fire	fire
from	from
a	a
gun	gun
load	load
with	with
care	care
hard	hard
work	work
and	and
through	through
hur	hour
of	of
winter	winter
traveh	travel
and	and
land	land
at	at
a	a
dinncrtable	dinnertable
ncxt	next
fome	some
cbarming	charming
yung	young
voman	woman
be	be
a	an
cxpericnce	experience
which	which
have	have
occur	occur
to	to
him	him
more	more
tlan	than
once	once
in	in
tle	the
pafl	past
tao	two
vear	year
but	but
to	to
bc	be
thruft	thrust
ftll	still
far	far
iuto	into
fpade	space
until	until
he	he
reach	reach
an	an
elyfium	elysium
replete	replete
with	with
whifper	whisper
fountain	fountain
flowei	flower
vinc	vine
and	and
thc	the
perfume	perfume
of	of
countleff	countless
whole	whole
tufk	tuck
avay	away
n	in
a	a
cfev	cosey
arhor	arbor
contan	contain
a	a
so	so
far	far
as	as
he	he
could	could
fce	see
fmom	from
tle	the
liften	listen
ear	ear
or	or
watchful	watchful
evc	eye
of	of
mortal	mortal
mau	man
or	or
witl	with
ruth	ruth
tip	tip
f	of
whose	whose
lingm	finger
bc	be
fo	so
manv	many
little	little
fhrine	shrine
fr	for
devout	devout
be	be
like	like
have	have
be	be
transport	transport
into	into
paradife	paradise
oh	oh
pleafe	please
let	let
me	me
laok	look
around	around
a	a
littlc	little
he	he
beg	beg
at	at
laft	last
and	and
tlif	this
he	be
ahy	why
you	you
hove	love
to	to
come	come
bere	here
nt	nt
you	you
i	i
aould	would
noi	not
live	live
anywher	anywhere
clfe	else
if	if
i	i
it	it
lavc	have
just	just
tbe	the
ar	air
f	of
t	it
eeu	feel
like	like
a	a
fummer	summer
s	s
night	night
if	if
the	the
moon	moon
bc	be
com	come
up	up
homewhere	somewhere
rutb	ruth
f	s
delight	delight
equal	equal
lif	his
own	own
fl	she
muft	must
sboi	show
him	him
tbe	the
ncw	new
tulip	tulip
juft	just
sprout	sprout
take	take
dovn	down
a	a
lanteru	lantern
so	so
tlal	that
le	he
couhd	could
see	see
the	the
bctter	better
and	and
he	he
must	must
fec	see
how	how
tle	the
jessamine	jessamine
he	be
twist	twist
iu	in
and	and
out	out
tle	the
crffcross	crisscross
flat	slat
of	of
the	the
treulmf	trellis
fo	so
that	that
the	the
flower	flower
bloom	bloom
both	both
outfide	outside
and	and
in	in
and	and
tbe	the
little	little
gullv	gully
in	in
tbe	the
flag	flag
of	of
tle	the
pavement	pavement
through	through
wbiib	which
run	run
thi	the
overflow	overflow
of	of
tle	the
tiny	tiny
again	again
feat	seat
on	on
the	the
dangerouf	dangerous
bnch	bench
with	with
a	a
cufhon	cushion
tuck	tuck
belind	behind
hcr	her
beautiuh	beautiful
fhonlder	shoulder
thew	they
talk	talk
of	of
tbe	the
tnnnel	tunnel
and	and
whcn	when
it	it
would	would
be	be
finifh	finish
and	and
of	of
the	the
village	village
peope	people
and	and
alom	whom
thev	they
like	like
and	and
vlom	whom
thev	they
oi	of
corinne	corinne
whose	whose
uiturned	upturned
little	little
nofe	nose
and	and
muperior	superior
dominate	dominate
air	air
ruth	ruth
think	think
he	be
too	too
funny	funny
or	for
wrd	word
aud	and
of	of
her	her
reently	recently
innouncc	announce
engagement	engagement
to	to
garny	garry
mlnott	minott
wlo	who
lave	have
ftart	start
for	for
himsclf	himself
in	in
business	business
and	and
alrcady	already
havc	have
a	a
commiflion	commission
to	to
build	build
a	a
chuich	church
al	at
elm	elm
to	to
all	all
nei	new
jcrsev	jersey
as	as
until	until
the	the
rcaleftate	realestate
tgcncy	agency
takc	take
posfeffion	possession
of	of
itf	its
be	be
mnflrumental	instrumental
wtb	with
mr	mr
macfaruane	macfarlane
f	s
help	help
in	in
secure	secure
him	him
tbe	the
order	order
and	and
of	of
th	the
dinncr	dinner
to	to
he	be
gve	give
next	next
wcck	week
at	at
mrs	mrs
brent	brent
ffter	foster
be	be
on	on
vafhington	washington
square	square
to	to
which	which
tley	they
be	be
both	both
invite	invite
thankf	thanks
t	to
mifs	miss
felcia	felicia
for	for
ruth	ruth
f	s
invtation	invitation
and	and
thanks	thanks
to	to
peter	peter
lor	for
that	that
of	of
jafk	jack
who	who
at	at
petbr	peter
f	s
request	request
have	have
acompany	accompany
him	him
onc	one
afternoon	afternoon
to	to
one	one
of	of
mrs	mrs
foflr	foster
f	s
reception	reception
wlere	where
he	he
have	have
make	make
fo	so
favorable	favorable
an	an
l	s
lifl	list
of	of
ehygibe	eligible
voung	young
menthe	menthe
same	same
bc	be
a	a
scarce	scarce
article	article
they	they
have	have
difcuss	discuss
i	i
say	say
all	all
thefe	these
thing	thing
and	and
many	many
more	more
in	in
fentcnce	sentence
lle	the
scribe	scribe
devutuv	devoutly
bope	hope
mnch	much
short	short
tban	than
the	the
one	one
he	he
have	have
just	just
in	in
a	a
so	so
casuh	casual
a	a
as	as
a	a
master	matter
of	of
ask	ask
him	him
if	if
he	he
really	really
must	must
go	go
hack	back
to	to
in	in
the	the
morniug	morning
yef	yes
anfvcr	answer
there	there
be	be
no	no
one	one
to	to
take	take
cbarge	charge
of	of
the	the
new	new
hatterv	battery
but	but
myfelf	myself
and	and
we	we
lave	have
ten	ten
hole	hole
alradv	already
fill	fill
r	for
bhast	blast
but	but
be	be
nt	nt
it	it
only	only
to	to
put	put
thc	the
tao	two
wire	wire
together	together
daddy	daddy
explain	explain
it	it
lo	to
me	me
vgsbut	yesbut
at	at
juft	just
the	the
right	right
mment	moment
lal	half
a	a
minute	minute
too	too
early	early
might	might
rmin	ruin
wcek	week
of	of
work	work
we	we
lave	have
fome	some
support	support
to	to
blow	blow
out	out
three	three
charge	charge
he	be
at	at
their	their
muft	must
go	go
off	off
tgether	together
hut	but
it	it
be	be
fuch	such
a	a
short	short
vifit	visit
somc	some
not	note
in	in
her	her
voicc	voice
ring	ring
tlrougl	through
jack	jack
s	s
dar	ear
and	and
down	down
into	into
hif	his
beart	heart
in	in
all	all
tler	their
af	as
their	their
meeting	meeting
and	and
be	be
together	together
he	be
he	be
invarlahly	invariably
a	a
barrier	barrier
ahich	which
hc	he
could	could
never	never
pafs	pass
and	and
on	one
that	that
lc	he
be	be
alwavf	always
alrald	afraid
to	to
scale	scale
thif	this
time	time
her	her
eace	face
bl	be
toward	toward
him	him
the	the
rofy	rosy
light	light
hath	bath
hr	her
gloriouf	glorious
lair	hair
and	and
tbe	the
round	round
of	of
her	her
dimpld	dimpled
cleek	cheek
for	for
an	an
instanl	instant
a	a
fmile	smile
quiver	quiver
on	on
ler	her
hip	lip
and	and
lhen	then
fad	fade
af	as
if	if
sme	some
indrawn	indrawn
sigb	sigh
lavc	have
strangue	strangle
it	it
jack	jack
s	s
heart	heart
givc	give
a	a
bind	bind
b	be
yu	you
reahlv	really
lorrv	sorry
to	to
bave	have
me	me
go	go
miff	miss
ruth	ruth
le	he
afk	ask
fearch	search
her	her
eve	eye
why	why
should	should
i	i
not	not
b	be
be	be
not	not
tbif	this
better	better
than	than
mrf	mrs
hicks	hicks
s	s
and	and
aunt	aunt
felicia	felicia
would	would
lovc	love
to	to
have	have
you	you
telu	tell
mc	me
so	so
at	at
dinner	dinner
hut	but
vou	you
mlsf	miss
rutb	ruth
le	he
have	have
move	move
a	a
trifle	trifle
clofe	close
tbat	that
hif	his
cager	eager
inger	finger
aumost	almost
touch	touch
her	her
own	own
do	do
you	you
want	want
me	me
lo	to
stay	stay
whv	why
of	of
course	course
we	we
all	all
vant	want
you	you
to	to
stay	stay
uncle	uncle
peter	peter
lave	have
tauk	talk
ol	of
nothlng	nothing
elfe	else
for	for
day	day
ruth	ruth
shc	she
liit	lift
her	her
head	head
and	and
hook	look
lim	him
fearlefflv	fearlessly
in	in
the	the
eye	eye
vef	yes
i	i
tbat	that
you	you
will	will
have	have
it	it
that	that
aay	way
we	we
he	be
go	go
to	to
bave	have
a	a
fleghride	sleighride
tomoriow	tomorrow
and	and
i	i
know	know
vou	you
vouhd	would
loye	love
tle	the
open	open
country	country
it	it
be	be
fo	so
beantiful	beautiful
and	and
fo	so
ruth	ruth
ruth	ruth
vou	you
dear	dear
chihd	child
come	come
a	a
bc	be
you	you
tvo	two
never	never
fome	come
in	in
the	the
eoffce	coffee
be	be
ftone	stone
dud	cold
yis	yes
aunt	aunt
cicia	felicia
rght	right
away	away
run	run
mr	mr
and	and
fhe	she
fly	fly
up	up
lhe	the
brick	brick
path	path
for	for
tbe	the
fecond	second
time	time
miss	miss
felicia	felicia
l	s
keen	keen
kindhv	kindly
eye	eye
scan	scan
tle	the
voung	young
girl	girl
f	s
face	face
but	but
ouly	only
a	a
llugh	laugh
tbe	the
hest	best
and	and
fure	sure
of	of
malk	mask
greet	greet
her	her
be	he
tink	think
it	it
all	all
lvelv	lovely
rutb	ruth
ripple	ripple
out	out
do	do
nt	nt
you	you
mr	mr
hreen	breen
hovelv	lovely
wby	why
it	it
be	be
thc	the
most	most
wondnful	wonderful
phacc	place
i	i
ever	ever
lee	see
i	i
could	could
hardly	hardly
helieve	believe
my	my
senle	sense
i	i
be	be
qulte	quite
fur	sure
old	old
aunt	aunt
lannah	hannah
be	be
ck	cook
and	and
tbat	that
poor	poor
old	old
tom	tom
vlll	will
come	come
hobbhe	hobble
ahong	along
in	in
a	a
minnte	minute
wtl	with
that	that
mifry	misry
in	in
hif	his
back	back
hov	how
in	in
the	the
vrld	world
you	you
ever	ever
do	do
it	it
aud	and
and	and
do	do
you	you
heai	hear
my	my
frog	frog
interrupt	interrupt
bls	his
hostesf	hostess
of	of
eourfe	course
he	he
do	do
nt	nt
fehicia	felicia
break	break
in	in
peter	peter
what	what
a	a
queston	question
to	to
afk	ask
a	a
man	man
listen	listen
to	to
the	the
croakings	croakings
of	of
vour	your
miserable	miserable
tadpole	tadpole
with	with
tbe	the
pretty	pretty
girl	girl
in	in
fcren	seven
feven	seven
state	state
fr	for
that	that
hefide	beside
him	him
oh	oh
need	need
nt	nt
look	look
yon	you
minx	minx
if	if
le	he
hear	hear
a	a
slnglc	single
croak	croak
he	he
ougll	ought
to	to
be	be
duck	duck
in	in
the	the
tben	then
padk	pack
off	off
home	home
foak	soak
wt	wet
and	and
tlat	that
he	be
what	what
le	he
be	be
go	go
to	to
do	do
bmsll	himself
rejoin	rejoin
ruth	ruth
drop	drop
into	into
a	a
clair	chair
vbich	which
peter	peter
havc	have
drav	draw
up	up
for	for
hcr	her
do	do
vlat	what
cry	cry
peter	peter
pack	pack
limslf	himself
by	by
the	the
early	early
i	i
can	can
do	do
or	or
fay	say
have	have
make	make
tbe	the
fligbt	slight
impresslon	impression
n	on
him	him
fhe	she
say	say
with	with
a	a
toss	toss
of	of
but	but
peter	peter
vuld	would
nt	nt
listen	listen
thcn	then
you	you
vill	will
comc	come
back	back
fir	sir
on	on
fatnrday	saturday
and	and
stay	stay
until	until
monday	monday
and	and
then	then
we	we
will	will
all	all
go	go
down	down
togetber	together
and	and
you	you
wll	will
take	take
muth	ruth
across	across
thc	the
ferry	ferry
to	to
ber	her
fatler	father
f	s
thank	thank
you	you
fr	sir
hut	but
i	i
he	be
afraid	afraid
l	i
can	can
nt	nt
you	you
fee	see
it	it
ahl	all
depend	depend
on	on
the	the
lhif	this
laft	last
come	come
with	with
a	a
certain	certain
tone	tone
of	of
regret	regret
but	but
i	i
wiil	will
fcnd	send
macfarlane	macfarlane
a	a
note	note
and	and
lave	have
you	you
detaih	detail
ai	as
an	an
efcort	escort
of	of
one	one
to	to
bring	bring
hif	his
onlv	only
it	it
would	would
not	not
do	do
anv	any
good	good
mr	mr
gravson	grayson
ftop	stop
your	your
nonsnle	nonsense
peter	peter
ealu	call
lim	him
fo	so
vou	you
come	come
back	back
ior	for
sunday	sunday
tbese	these
day	day
with	with
the	the
boy	boy
be	be
tlc	the
plefant	pleasant
of	of
hlf	his
ife	life
aell	well
i	i
would	would
hove	love
bere	here
hif	his
eve	eye
sedk	seek
hut	but
ie	we
lave	have
an	an
important	important
blaft	blast
to	to
make	make
and	and
ve	we
be	be
do	do
our	our
beft	best
to	to
get	get
tling	thing
into	into
shape	shape
beforc	before
the	the
week	week
bc	be
ont	out
well	well
but	but
hut	but
it	it
will	will
he	be
answer	answer
jack	jack
n	in
a	a
mre	more
positive	positive
touc	tone
thls	this
part	part
of	of
lhe	the
work	work
be	be
in	in
lii	his
hand	hand
iell	well
anyhow	anyhow
fend	send
me	me
a	a
telegram	telegram
i	i
aill	will
send	send
it	it
llr	sir
but	but
i	i
bc	be
afraid	afraid
it	it
wll	will
nt	nt
help	help
matter	matter
mifs	miss
rutl	ruth
know	know
hoa	how
deligbled	delighted
i	i
iould	would
be	be
to	to
return	return
hcre	here
and	and
fee	see
hcr	her
fafe	safe
home	home
hcthcr	whether
fhl	she
do	do
or	or
whcther	whether
fhe	she
do	do
nt	nt
break	break
in	in
miff	miss
fellcia	felicia
bave	have
nt	nt
get	get
a	a
fingle	single
tbing	thing
to	to
do	do
witb	with
it	it
peter	peter
vou	you
just	just
go	go
badk	back
to	to
your	your
vork	work
mr	mr
breen	breen
and	and
look	look
after	after
your	your
gunpowder	gunpowder
plot	plot
or	or
whateveo	whatever
you	you
calu	call
tbcm	them
and	and
if	if
fome	some
one	one
of	of
tlefe	these
gentleman	gentleman
of	of
elegant	elegant
on	one
of	of
whom	whom
so	so
far	far
have	have
ofer	offer
lis	his
can	can
not	not
managc	manage
to	to
elcort	escort
jou	you
to	to
your	your
fathcr	father
s	s
honse	house
rutl	ruth
i	i
will	will
take	take
you	you
myfelf	myself
nov	now
coge	come
infidc	inside
tbe	the
drawingroom	drawingroom
cverv	every
oue	one
of	of
you	you
or	or
vou	you
will	will
al	all
blame	blame
me	me
for	for
undermine	undermine
vonr	your
preciouf	precious
too	too
majr	major
do	do
nt	nt
drp	drop
your	your
amh	ash
into	into
my	my
i	i
do	do
nt	nt
care	care
vhere	where
you	you
tbrov	throw
tlcm	them
t	it
be	be
late	late
in	in
tle	the
afternoon	afternoon
of	of
the	the
fecond	second
day	day
whcn	when
tbe	the
telegram	telegram
arriue	arrive
a	a
dclav	delay
whicb	which
caufe	cause
o	no
apparcnt	apparent
lnffering	suffering
to	to
anv	any
one	one
cxfept	except
perlapf	perhaps
petr	peter
abo	who
wander	wander
ahout	about
ilth	with
a	a
nothing	nothing
from	from
jack	jack
yet	yet
cl	eh
a	a
queftion	question
wlldh	which
no	no
ne	one
answcr	answer
it	it
he	be
addreff	address
to	to
nobody	nobody
in	in
particular	particular
unhfs	unless
t	it
be	be
t	to
rutb	ruth
who	who
have	have
ftart	start
at	at
every	every
ting	ring
of	of
tle	the
doorbell	doorbell
af	as
to	to
miss	miss
have	have
already	already
dismiss	dismiss
the	the
youug	young
man	man
from	from
her	her
mind	mind
when	when
it	it
do	do
arrive	arrive
there	there
he	be
a	a
slight	slight
flutter	flutter
of	of
intereft	interest
but	but
notling	nothing
more	more
mifl	miss
felicia	felicia
iay	lay
dovn	down
ber	her
hook	book
ruth	ruth
afk	ask
in	in
indiffcrnt	indifferent
before	before
the	the
difpatcb	dispatch
be	be
he	be
he	he
come	come
and	and
morris	morris
vho	who
hc	be
play	play
chesf	chess
with	with
petcr	peter
hold	hold
his	his
eavn	pawn
in	in
midair	midair
unlil	until
tle	the
interruption	interruption
he	be
ovcr	over
not	not
fo	so
with	with
a	a
jovouf	joyous
do	do
nt	nt
l	i
tell	tell
you	you
lhe	the
boy	boy
aould	would
kcep	keep
hif	his
fpring	spring
from	from
his	his
beai	hear
from	from
jack	jack
an	an
cagarnrfs	eagerness
flare	share
hy	by
rulb	ruth
vbose	whose
voicc	voice
again	again
ring	ring
out	out
thif	this
time	time
in	in
an	an
anxiouf	anxious
tone	tone
lurrj	hurry
up	up
uncle	uncle
le	he
cme	come
peter	peter
make	make
nm	no
anfaer	answer
le	he
be	be
ftare	stare
straight	straight
at	at
the	the
open	open
fuip	slip
bs	his
face	face
deathlv	deathly
pale	pale
lif	his
hand	hand
tremblc	tremble
i	i
will	will
tell	tell
you	you
ahl	all
about	about
it	it
in	in
a	a
mlnute	minute
dear	dear
he	he
fay	say
at	at
last	last
with	with
a	a
fooce	force
fmile	smile
then	then
he	he
touch	touch
morris	morris
s	s
arm	arm
and	and
the	the
two	two
lcave	leave
lle	the
ioom	room
chapter	chapter
xiv	xiv
tie	the
fcribe	scribe
aould	would
williughy	willingly
omit	omit
tlis	this
chapter	chapter
dying	dying
man	man
lurrv	hurry
doctor	doctor
improvise	improvise
slretcber	stretcher
maae	make
of	of
irencb	wrench
fence	fence
rail	rail
lilent	silent
shovmoving	slowmoving
throng	throng
folow	follow
limi	limp
hruised	bruised
bodv	body
not	not
pleasani	pleasant
wbject	object
to	to
write	write
about	about
and	and
fhould	should
be	be
dispole	dispose
of	of
af	as
quldkhy	quickly
af	as
pofsible	possible
cxactly	exactly
whose	whose
fanlt	fault
il	it
be	be
nobodv	nobody
knov	know
if	if
any	any
oee	one
do	do
no	no
one	one
cver	ever
tell	tell
eery	every
precantion	precaution
have	have
be	be
take	take
eadh	each
charge	charge
hav	have
be	be
propery	properly
place	place
and	and
tamp	tamp
all	all
lhe	the
luuminat	fulminate
nspect	inspect
and	and
tle	the
connectiou	connection
make	make
witb	with
the	the
greateft	greatest
care	care
af	as
to	to
in	in
the	the
pav	pay
shantv	shanty
lie	lie
on	on
jack	jack
breen	breen
m	s
table	table
nor	nor
be	be
the	the
ieatier	weather
unfavorable	unfavorable
true	true
there	there
have	have
be	be
rain	rain
the	the
day	day
beiore	before
start	start
a	a
gcnral	general
thaw	thaw
but	but
none	none
of	of
the	the
downpour	downpour
have	have
soak	soak
througl	through
the	the
outer	outer
crult	crust
of	of
the	the
tunnel	tunnel
to	to
the	the
work	work
force	force
infide	inside
and	and
no	no
exlra	extra
hahor	labor
lavc	have
devolv	devolve
on	on
tb	the
pump	pump
thif	this
oi	of
ourfe	course
upfet	upset
ahl	all
theorv	theory
as	as
io	to
lhcre	there
have	have
be	be
a	a
readjustment	readjustment
of	of
farface	surface
rock	rock
dangerouf	dangerous
somctimef	sometimes
to	to
magnctic	magnetic
connection	connection
lhcn	then
agaiu	again
no	no
man	man
underftand	understand
tunne	tunnel
conftrudtion	construction
better	better
tlan	than
hcnry	henry
macfarhane	macfarlane
membcr	member
of	of
the	the
american	american
societv	society
of	of
engineer	engineer
iellow	fellow
of	of
tle	the
inftitute	institute
of	of
fcence	science
etc	etc
nor	nor
be	be
there	there
ever	ever
an	an
cngineer	engineer
more	more
carefl	careful
of	of
hi	his
man	man
indeed	indeed
it	it
he	be
bif	his
boafl	boast
tlat	that
be	he
lave	have
necr	never
lwfe	lose
a	a
lile	life
bv	by
a	a
premature	premature
difcharge	discharge
in	in
the	the
twenty	twenty
vear	year
of	of
hf	his
experen	experience
nor	nor
do	do
tbc	the
man	man
those	those
who	who
work	work
under	under
who	who
efdape	escape
to	to
any	any
definitc	definite
conclufion	conclusion
as	as
to	to
the	the
fause	cause
of	of
the	the
fataftrophe	catastrophe
the	the
nigli	night
and	and
dav	day
gang	gang
i	i
havc	have
fecl	feel
thc	the
chiul	chill
of	of
tle	the
clammv	clammy
interior	interior
and	and
wlo	who
he	be
tlercfore	therefore
familiar	familiar
wlth	with
the	the
landling	handling
o	of
explofive	explosive
and	and
the	the
proper	proper
tamp	tamp
of	of
the	the
charge	charge
flip	slip
ol	of
tbe	the
steel	steel
mean	mean
instantaneous	instantaneous
annihilation	annihilation
the	the
beaft	beast
know	know
and	and
could	could
tell	tell
if	if
hc	he
cloose	choose
i	i
say	say
tle	the
balt	beast
for	for
tlat	that
be	be
ahat	what
macfarlane	macfarlane
f	s
tunnel	tunnel
be	be
to	to
me	me
to	to
tbe	the
pafscrhy	passerby
and	and
to	to
the	the
expert	expert
t	it
hc	be
of	of
courfe	course
merelv	merely
a	a
fhort	short
cut	cut
through	through
tle	the
fteep	steep
hlll	hill
fhank	flank
one	one
end	end
of	of
tbe	the
buge	huge
earth	earth
fill	fill
ahieh	which
macfarlanc	macfarlane
be	be
conftruct	construct
acrosl	across
the	the
brook	brook
and	and
which	which
vhen	when
complte	complete
ionld	would
form	form
a	a
bes	bed
for	for
futnre	future
train	train
but	but
to	to
me	me
it	it
be	be
alwayf	always
the	the
beaft	beast
tlis	this
illusion	illusion
he	be
help	help
by	by
itf	its
howhroved	lowbrowed
rofkv	rocky
head	head
croucl	crouch
clofe	close
to	to
the	the
end	end
of	of
tle	the
fmll	fill
itf	its
hcngth	length
conceal	conceal
in	in
tbe	the
cueft	cleft
of	of
tlr	the
if	if
le	lie
in	in
wait	wait
for	for
wlatever	whatever
ciosf	cross
its	its
af	as
wel	well
af	as
itf	its
iagged	ragged
halironnd	halfround
catfisl	catfish
gafh	gash
of	of
a	a
moutl	mouth
irom	from
ont	out
of	of
alicl	which
pour	pour
at	at
regular	regular
nleival	interval
a	a
fickening	sickening
vcllow	yellow
often	often
comn	come
dulh	dull
explofion	explosion
olhow	follow
by	by
belchingf	belchings
of	of
dehrif	debris
which	which
centipcde	centipede
o	of
car	car
drag	drag
clear	clear
of	of
itf	its
slymv	slimy
lp	lip
fo	so
i	i
reiteraie	reiterate
the	the
beaft	beast
knoa	know
eveiy	every
dav	day
the	the
gang	gang
bave	have
bore	bore
and	and
pound	pound
and	and
wrench	wrench
piercc	pierce
his	his
body	body
witl	with
nervous	nervous
nag	nag
drilu	drill
prop	prop
np	up
hif	his
hadkbone	backbone
cut	cut
out	out
tender	tender
bit	bit
of	of
flesh	flesh
to	to
carve	carve
again	again
he	he
have	have
try	try
to	to
iriggue	wriggle
and	and
twist	twist
bnt	but
the	the
mountain	mountain
bave	have
lold	hold
lim	him
faft	fast
oncc	once
he	he
have	have
ftraighten	straighten
out	out
lmash	smash
the	the
tinv	tiny
car	car
and	and
the	the
tug	tug
locomtive	locomotive
hreak	break
a	a
leg	leg
and	and
an	an
arm	arm
and	and
once	once
a	a
head	head
hut	but
thc	the
devil	devil
havc	have
begin	begin
again	again
boring	boring
and	and
dig	dig
aud	and
tle	the
cruel	cruel
aind	wind
be	be
open	open
afrefh	afresh
anther	another
tme	time
aller	after
a	a
hig	big
ain	rain
with	with
the	the
behp	help
of	of
fome	some
friendly	friendly
rock	rock
who	who
hhve	have
rufh	rush
down	down
to	to
hif	his
help	help
le	he
bave	have
snap	snap
if	his
jaw	jaw
tight	tight
lhnt	shut
pen	pen
the	the
devil	devil
up	up
infide	inside
but	but
a	a
hundred	hundred
other	other
havc	have
wrench	wrench
lhem	them
open	open
hreak	break
bis	his
tooth	tooth
shorc	shore
up	up
hif	his
lip	lip
with	with
iron	iron
beam	beam
tear	tear
out	out
what	what
he	be
lcave	leave
of	of
lard	hard
and	and
grunt	grunt
when	when
tle	the
pain	pain
be	be
unbearable	unbearable
one	one
tblnk	think
comort	comfort
bim	him
and	and
one	one
onlv	only
far	far
back	back
in	in
hif	his
buuk	bulk
le	he
kuow	know
of	of
a	a
thin	thin
place	place
in	in
hi	his
lide	hide
thin	thin
owe	owe
to	to
a	a
dp	dip
in	in
the	the
cntoir	contour
of	of
the	the
hill	hill
but	but
a	a
fei	few
yard	yard
of	of
overlvng	overlying
rock	rock
and	and
earth	earth
lay	lay
beiween	between
it	it
and	and
the	the
frce	free
air	air
here	here
bis	his
tormentor	tormentor
have	have
ftop	stop
wby	why
he	he
could	could
nt	not
tell	tell
until	until
be	he
begin	begin
to	to
keep	keep
tallv	tally
oi	of
ihat	what
lave	have
pass	pass
bif	his
mouth	mouth
tbe	the
long	long
train	train
ot	of
car	car
have	have
cafe	cease
fo	so
have	have
the	the
fnort	snort
uocomolve	locomotive
f	so
bave	have
the	the
lteam	steam
drill	drill
curiouslooking	curiouslooking
hox	box
and	and
keg	keg
he	be
be	be
pasf	pass
in	in
nonc	none
of	of
wbich	which
ever	ever
come	come
hack	back
man	man
witl	with
ronl	roll
o	of
pajer	paper
on	on
which	which
be	be
zigzag	zigzag
marklng	marking
ftumble	stumble
infide	inside
ftav	stay
an	an
bour	hour
and	and
stnmble	stumble
out	out
again	again
these	these
man	man
icar	wear
no	no
lamp	lamp
in	in
their	their
bat	hat
and	and
bc	be
belter	better
dreff	dress
than	than
tle	the
otler	other
then	then
a	a
luae	huge
wooden	wooden
drum	drum
vrap	wrap
with	with
vire	wire
bc	be
lcave	leave
ocrnght	overnight
outside	outside
hif	his
lip	lip
and	and
unrol	unrol
the	the
ndxt	next
morning	morning
every	every
yard	yard
of	of
it	it
b	be
ftretcb	stretch
so	so
far	far
on	on
tbe	the
following	following
mornng	morning
work	work
of	of
every	every
kind	kind
ceafe	cease
not	not
a	a
man	man
aith	with
a	a
lamp	lamp
ihese	these
tbe	the
beaft	beast
late	hate
moft	most
tlal	that
be	be
none	none
tlat	that
he	he
coud	could
fee	see
or	or
feel	feel
after	after
an	an
hour	hour
or	or
more	more
tge	the
hcad	head
man	man
arrive	arrive
and	and
with	with
two	two
other	other
go	go
inside	inside
tle	the
bead	head
man	man
be	be
talh	tall
and	and
fair	fair
bave	have
gray	gray
fidr	side
wbisker	whisker
and	and
wear	wear
a	a
flouch	slouch
hat	hat
te	the
fecond	second
mau	man
ue	be
mtraigbt	straight
and	and
wcll	well
huild	build
witb	with
a	a
bovsh	boyish
lace	face
tan	tan
bv	by
thc	the
weatbr	weather
the	the
tbimd	third
man	man
be	be
fbott	short
